canonical_name,ncm,brand,unit,keywords
CAFE TORRADO E MOIDO 500G,09012100,,UN,"CAFE;TORRADO;MOIDO;500G;PACOTE"
ARROZ BRANCO TIPO 1 5KG,10063011,,FD,"ARROZ;BRANCO;TIPO1;5KG"
ACUCAR CRISTAL 1KG,17019900,,UN,"ACUCAR;CRISTAL;1KG"
LEITE UHT INTEGRAL 1L,04012010,,CX,"LEITE;UHT;INTEGRAL;1L"
OLEO DE SOJA 900ML,15079011,,UN,"OLEO;SOJA;900ML"

FEIJAO CARIOCA TIPO 1 1KG,07133329,,UN,"FEIJAO;CARIOCA;TIPO1;1KG"
MACARRAO ESPAGUETE 500G,19021900,,UN,"MACARRAO;ESPAGUETE;500G"
FARINHA DE TRIGO 1KG,11010010,,UN,"FARINHA;TRIGO;1KG"
FARINHA DE MANDIOCA 1KG,11062000,,UN,"FARINHA;MANDIOCA;1KG"
FLOCAO DE MILHO 500G,11041900,,UN,"FLOCAO;MILHO;500G"
SAL REFINADO 1KG,25010020,,UN,"SAL;REFINADO;1KG"
MARGARINA 500G,15171000,,UN,"MARGARINA;500G"
MANTEIGA 200G,04051000,,UN,"MANTEIGA;200G"
QUEIJO MUSSARELA KG,04061010,,KG,"QUEIJO;MUSSARELA;KG"
IOGURTE NATURAL 170G,04031000,,UN,"IOGURTE;NATURAL;170G"
CREME DE LEITE 200G,04015021,,CX,"CREME;LEITE;200G"
LEITE CONDENSADO 395G,04029900,,UN,"LEITE;CONDENSADO;395G"

CARNE BOVINA KG,02013000,,KG,"CARNE;BOVINA;KG"
FRANGO INTEIRO KG,02071200,,KG,"FRANGO;INTEIRO;KG"
LINGUICA TOSCANA KG,16010000,,KG,"LINGUICA;TOSCANA;KG"
SALSICHA 500G,16010000,,UN,"SALSICHA;500G"
OVOS BRANCOS 30UN,04072100,,CX,"OVOS;BRANCOS;30"

ARROZ INTEGRAL 1KG,10063021,,UN,"ARROZ;INTEGRAL;1KG"
ACUCAR REFINADO 1KG,17019900,,UN,"ACUCAR;REFINADO;1KG"

AGUA MINERAL 500ML,22011000,,UN,"AGUA;MINERAL;500ML"
REFRIGERANTE COLA 2L,22021000,,UN,"REFRIGERANTE;COLA;2L"
SUCO CAIXA 1L,20099000,,CX,"SUCO;1L;CAIXA"
ENERGETICO 473ML,22029900,,UN,"ENERGETICO;473ML"
CERVEJA LATA 350ML,22030000,,UN,"CERVEJA;LATA;350ML"

OLEO DE SOJA 900ML,15079011,,UN,"OLEO;SOJA;900ML"
AZEITE DE OLIVA 500ML,15091000,,UN,"AZEITE;OLIVA;500ML"
VINAGRE 750ML,22090000,,UN,"VINAGRE;750ML"
EXTRATO DE TOMATE 340G,20029090,,UN,"EXTRATO;TOMATE;340G"
MOLHO DE TOMATE 340G,21032010,,UN,"MOLHO;TOMATE;340G"

BISCOITO RECHEADO 140G,19053100,,UN,"BISCOITO;RECHEADO;140G"
BISCOITO SALGADO 400G,19059020,,UN,"BISCOITO;SALGADO;400G"
CHOCOLATE AO LEITE 90G,18069000,,UN,"CHOCOLATE;90G"
BALAS SORTIDAS 100G,17049000,,UN,"BALAS;100G"

MILHO VERDE ENLATADO 200G,20058000,,UN,"MILHO;ENLATADO;200G"
ERVILHA ENLATADA 200G,20054000,,UN,"ERVILHA;ENLATADA;200G"
ATUM ENLATADO 170G,16041400,,UN,"ATUM;ENLATADO;170G"
SARDINHA ENLATADA 125G,16041310,,UN,"SARDINHA;ENLATADA;125G"

PAPEL HIGIENICO 12UN,48181000,,FD,"PAPEL;HIGIENICO;12"
SABONETE 90G,34011190,,UN,"SABONETE;90G"
SHAMPOO 350ML,33051000,,UN,"SHAMPOO;350ML"
CREME DENTAL 90G,33061000,,UN,"CREME;DENTAL;90G"
DESODORANTE 150ML,33072000,,UN,"DESODORANTE;150ML"

DETERGENTE 500ML,34022000,,UN,"DETERGENTE;500ML"
SABAO EM PO 1KG,34022000,,UN,"SABAO;PO;1KG"
AGUA SANITARIA 1L,28289011,,UN,"AGUA;SANITARIA;1L"
DESINFETANTE 500ML,38089400,,UN,"DESINFETANTE;500ML"
ESPONJA DUPLA FACE,39241000,,UN,"ESPONJA;LIMPEZA"
SACO DE LIXO 100L 10UN,39232100,,FD,"SACO;LIXO;100L"

PÃO FRANCES KG,19059090,,KG,"PAO;FRANCES;KG"
PÃO DE FORMA 500G,19059010,,UN,"PAO;FORMA;500G"
BOLO PRONTO 300G,19059000,,UN,"BOLO;300G"
